event,global_step,epoch,loss,eval_loss,train_loss,learning_rate
log,500,0.05,5.1419,,,0.0009501
log,1000,0.1,4.7551,,,0.0009001
log,1500,0.15,4.5961,,,0.0008501
log,2000,0.2,4.4768,,,0.0008001
log,2500,0.25,4.3876,,,0.0007501
log,3000,0.3,4.3508,,,0.0007001
log,3500,0.35,4.2964,,,0.0006501
log,4000,0.4,4.258,,,0.0006001
log,4500,0.45,4.1988,,,0.0005501
log,5000,0.5,4.1856,,,0.0005001
log,5500,0.55,4.1495,,,0.0004501
log,6000,0.6,4.1397,,,0.0004001
log,6500,0.65,4.1283,,,0.0003501
log,7000,0.7,4.0624,,,0.0003001
log,7500,0.75,4.0736,,,0.0002501
log,8000,0.8,4.067,,,0.0002001
log,8500,0.85,4.055,,,0.0001501
log,9000,0.9,3.9967,,,0.0001001
log,9500,0.95,4.002,,,5.01e-05
log,10000,1,4.0491,,,1e-07
log,10000,1,,,4.268515417,
