event,global_step,epoch,loss,eval_loss,train_loss,learning_rate
log,500,0.05,5.0741,,,0.0009501
log,1000,0.1,4.4907,,,0.0009001
log,1500,0.15,4.334,,,0.0008501
log,2000,0.2,4.2238,,,0.0008001
log,2500,0.25,4.0995,,,0.0007501
log,3000,0.3,4.0234,,,0.0007001
log,3500,0.35,3.9415,,,0.0006501
log,4000,0.4,3.8501,,,0.0006001
log,4500,0.45,3.7565,,,0.0005501
log,5000,0.5,3.7353,,,0.0005001
log,5500,0.55,3.6647,,,0.0004501
log,6000,0.6,3.655,,,0.0004001
log,6500,0.65,3.6009,,,0.0003501
log,7000,0.7,3.5388,,,0.0003001
log,7500,0.75,3.5206,,,0.0002501
log,8000,0.8,3.5076,,,0.0002001
log,8500,0.85,3.4782,,,0.0001501
log,9000,0.9,3.42,,,0.0001001
log,9500,0.95,3.4242,,,5.01e-05
log,10000,1,3.4499,,,1e-07
log,10000,1,,,3.839440747,
